LINE_NO,LABEL_NO,bianma,dwell_time
K183,1,390,56.832543748752414
516,11,391,0.0
116,25,392,31.25441696113074
116,26,393,21.883099707459778
306,12,394,22.40495867768595
325,27,395,21.085714285714285
312,27,396,20.8
312,28,397,21.51428571428572
516,7,398,26.201923076923077
K301,32,399,10.5
303,33,400,23.947368421052634
332,3,401,45.58715596330275
815,28,402,19.5
818,27,403,26.53333333333333
883,62,404,27.0
K25,17,405,26.767148281374897
K20,6,406,25.270833333333332
K25,16,407,31.42
K25,19,408,33.21
K89,2,409,74.4431279620853
K130,4,410,23.148967363590003
K75,6,411,26.595744680851062
K135,15,412,26.666666666666668
K173,12,413,29.4375
K135,14,414,27.0
K178,5,415,26.516129032258064
K135,13,416,39.625
K127,11,417,31.58169934640523
K143,23,418,25.878231292517007
K127,14,419,26.78246753246753
K143,28,420,59.97010569702803
K114,9,421,32.21081645351558
K114,10,422,24.27956989247312
K143,2,423,25.23809523809524
K143,3,424,21.069767441860463
K143,4,425,23.55813953488372
K24,22,426,31.48142576696093
65,32,427,27.725490196078432
889,36,428,25.31372549019608
K142,22,429,25.125
K142,23,430,0.0
882,21,431,32.289198606271775
K41,1,432,27.265524647768917
K42,7,433,37.10664448080847
K169,22,434,29.13533834586466
K137,9,435,25.204496366098923
315,8,436,9.166666666666666
316,31,437,23.6195987654321
315,4,438,41.52173913043478
316,29,439,22.586419753086417
315,7,440,30.423007246376812
309,14,441,0.0
315,9,442,30.75
315,10,443,33.25
307,27,444,28.613636363636363
313,3,445,46.02314814814815
K113,5,446,25.721649484536083
K169,3,447,24.080230880230886
K106,28,448,48.613026389668725
K131,7,449,33.09160421996275
325,15,450,31.039628029016825
T7,1,451,34.709779179810724
K161,9,452,27.369902576270466
328,7,453,20.11111111111111
A318,30,454,27.316666666666663
A318,28,455,54.3
K27,9,456,42.2830138626719
K156,13,457,32.82928856369702
K90,4,458,28.88301105310884
K172,7,459,29.16296296296296
K23,6,460,30.996753246753247
K21,7,461,30.197038002980626
K175,14,462,40.83870967741935
K21,1,463,0.0
K159,4,464,22.15
K159,3,465,35.53333333333333
K159,6,466,11.366666666666667
K22,12,467,20.397590361445783
K61,5,468,29.460869565217394
K86,22,469,24.1193356374808
K172,19,470,14.275862068965518
K21,4,471,32.69369686603954
K22,19,472,24.14016129032258
K175,11,473,51.84163861571293
K302,20,474,14.556886227544911
K22,11,475,22.568862275449103
K86,27,476,0.0
K86,26,477,23.76344086021505
K175,2,478,13.714285714285714
K175,1,479,8.0
K172,17,480,25.310344827586206
K172,18,481,10.210526315789474
K81,7,482,32.723404255319146
K81,6,483,35.382629107981224
K20,28,484,49.811557788944725
K78,7,485,31.0
K126,6,486,0.0
K156,7,487,26.775
K58,8,488,35.029143904337104
K157,25,489,42.396194268170895
K38,6,490,39.34151025161832
K133,8,491,32.29862423262838
T202,2,492,30.81195207565599
523,10,493,25.485294117647054
523,8,494,27.693103239576676
B1,20,495,37.109947643979055
523,5,496,25.28492392807745
K133,9,497,33.108050045637704
K156,3,498,31.131481481481483
K156,5,499,22.34087478783131
K58,2,500,27.775886842604898
K19,5,501,35.39222339222339
K133,4,502,37.93387870855148
523,12,503,32.99926855558978
B3,23,504,52.073604341026424
K100,2,505,36.672765793528505
K120,26,506,37.496676184757206
K77,18,507,43.216787544196
K59,1,508,56.35036496350365
K26,1,509,47.57837030064129
K19,16,510,32.240338314653386
K72,18,511,41.59400356832633
K85,8,512,43.28967391304348
K72,15,513,39.868580796943995
501,10,514,29.80963776963777
67,1,515,46.574892500859995
K7,23,516,26.888030888030887
32,10,517,39.76005080024714
K72,19,518,32.25975491344299
K21,25,519,36.75455426082129
K7,28,520,20.928400940175973
K91,11,521,39.75656311573496
32,16,522,39.78815688298556
K85,15,523,52.47250924867552
K302,39,524,48.977455756611654
K53,7,525,41.5284401655733
