LINE_NO,LABEL_NO,bianma,dwell_time
K140,12,257,0.425198170648607
K12,2,258,0.206534218929702
K180,11,259,0.0
322,8,260,0.0
322,7,261,0.0
883,63,262,0.0
318,24,263,0.0
318,26,264,0.0
318,23,265,0.0
K146,18,266,1.448698145105223
K146,19,267,0.463983727960274
K146,17,268,0.716013332645784
K99,9,269,0.624129098239244
306,14,270,0.211529294294062
306,11,271,0.129708014591574
D115,3,272,0.179831582991803
K185,15,273,0.0
K185,13,274,0.0
K183,22,275,0.0
K162,12,276,0.480994883966215
516,9,277,0.077650703827697
516,4,278,0.091165909938283
K73,24,279,0.01018285338881
K176,3,280,0.018598722338328
K73,21,281,0.087127689066312
K73,23,282,0.088184187662902
305,25,283,0.0
335,13,284,0.0
335,12,285,0.0
335,11,286,0.0
815,29,287,0.0
K25,15,288,0.160711204500052
K130,5,289,0.032202649585093
310,4,290,0.0
310,3,291,0.0
K173,15,292,0.055346692676006
K89,11,293,0.091959966322732
K135,11,294,0.158977431595766
K4,1,295,0.066354345146082
K143,29,296,0.654337565880778
K143,8,297,0.560606010879037
K143,5,298,0.561739802600972
K143,10,299,0.564002404796937
K77,6,300,0.234300770430306
K26,16,301,0.237080565626526
K149,10,302,0.281255842718665
K302,9,303,0.27195577374958
K24,12,304,0.181965886789948
K20,11,305,0.148193616274991
K20,10,306,0.152545696172197
K302,8,307,0.261702516326437
K24,20,308,0.0
K20,13,309,0.15298905355705
K20,12,310,0.156057539553002
97,20,311,0.031706050376525
97,22,312,0.046528293874084
A318,27,313,0.102106518282989
A318,26,314,0.16414257304574
K180,2,315,0.0
316,28,316,0.121618887015177
K180,1,317,0.0
309,15,318,0.0
K106,2,319,0.676794688593095
315,11,320,0.121794438815715
313,12,321,0.0
313,5,322,0.904965001310544
K10,37,323,0.030452719184962
K10,38,324,0.031896572542502
T19,9,325,0.0
311,21,326,0.347341614991385
317,5,327,0.18746525708606
306,10,328,0.214108398461737
312,36,329,0.110001613854442
K185,6,330,0.0
K145,25,331,0.408186054864448
K185,4,332,0.160505494921702
K131,1,333,0.414783393231642
97,29,334,0.0
328,8,335,0.0
307,35,336,0.072439633638634
K301,37,337,0.013177100227052
K301,36,338,0.014028543626338
K301,34,339,0.010257865715213
K86,8,340,0.201030224540451
K74,3,341,0.063674514925263
K74,4,342,3.7158145065e-05
K13,1,343,0.0
K125,2,344,0.207673523605413
K81,8,345,0.078252224957394
K74,1,346,0.0
B10,14,347,0.597019502804762
K175,15,348,0.0
K78,6,349,0.467106414758417
K20,26,350,0.175353431330943
K78,4,351,0.292911353996581
K20,22,352,0.277100189755454
523,16,353,0.391571802202791
523,19,354,0.333719842998644
K19,1,355,0.121206804258062
K149,7,356,0.315572623657189
K167,3,357,0.136907529667589
K167,5,358,0.118746918974296
118,26,359,0.202000433679242
K77,14,360,0.37376865344242
K72,4,361,0.484876406261434
K72,7,362,0.29249388617814
B7,10,363,0.01778878630939
K149,15,364,0.239323147526125
K77,13,365,0.388841182633561
505,9,366,0.303632991232392
K149,12,367,0.311697673732936
K69,9,368,0.132914218843178
K82,15,369,0.290361728589509
T21,11,370,0.271716720104625
K105,11,371,0.195817867512648
K82,18,372,0.596604601772159
501,8,373,0.126950018391458
K16,25,374,0.362307735566855
K70,6,375,0.119243288557164
K176,9,376,0.410870835768556
K159,16,377,0.0
818,29,378,0.0
818,28,379,0.0
883,53,380,0.0
883,54,381,0.0
885,57,382,0.0
311,27,383,0.005993980630926
K158,4,384,0.725
516,3,385,0.237668165182039
K158,6,386,0.0
311,26,387,0.248312529468695
A10,10,388,0.552403002281011
517,3,389,0.108972025514789
K183,1,390,0.052240519797365
516,11,391,0.0
116,25,392,0.292905070878563
116,26,393,0.299875583689822
306,12,394,0.192877848052889
325,27,395,0.553825173207349
312,27,396,0.554921036930607
312,28,397,0.553715586835024
516,7,398,0.096252361910621
K301,32,399,0.000527084009082
303,33,400,0.060118543607113
332,3,401,0.192271970031804
815,28,402,0.0
818,27,403,0.888888888888889
883,62,404,0.0
K25,17,405,0.194854171099019
K20,6,406,0.162810780843533
K25,16,407,0.155568523410983
K25,19,408,0.250228310502283
K89,2,409,0.03341105698386
K130,4,410,0.042985344078449
K75,6,411,0.335360415173022
K135,15,412,0.108654185800071
K173,12,413,0.312569806403574
K135,14,414,0.113104909925821
K178,5,415,0.157229878170561
K135,13,416,0.312779034034905
K127,11,417,0.198156976251582
K143,23,418,0.184064368410464
K127,14,419,0.247521365799832
K143,28,420,0.277333664021888
K114,9,421,0.174280155593638
K114,10,422,0.145778221325485
K143,2,423,0.535616417753313
K143,3,424,0.542341936241038
K143,4,425,0.541329698702629
K24,22,426,0.370183720149626
65,32,427,0.02106653458808
889,36,428,0.021660888228496
K142,22,429,0.260040613718412
K142,23,430,0.0
882,21,431,0.484551320502133
K41,1,432,0.00301818009843
K42,7,433,0.347319385267924
K169,22,434,0.505957374116406
K137,9,435,0.621762472244873
315,8,436,0.121794438815715
316,31,437,0.119571866219114
